frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
31,1.0,[12.079715887887858 505.9426218735549 1012.177543932793 1339.9164865733774],[295.3551330566406 1101.4195556640625 679.5983276367188 1223.90869140625],0.760664701461792,33AKAfi,None
32,1.0,[11.671138310871129 505.16541657812894 1012.2012631303868 1339.5078795217319],[294.0509033203125 1101.021728515625 680.3040161132812 1223.852783203125],0.7565216422080994,33AKATi,None
33,1.0,[11.12865953626249 504.8010635395257 1011.9771051762126 1339.5095645082076],[293.1724548339844 1100.5645751953125 680.2491455078125 1222.8153076171875],0.7576056122779846,E33AKATi,None
34,1.0,[10.402392116240094 505.3504809793891 1011.528643546863 1340.148117207234],[293.43682861328125 1100.4532470703125 679.516357421875 1222.2681884765625],0.7593687176704407,33AKATi8,None
35,1.0,[10.820835517030844 505.2758925252752 1012.0831563411791 1341.7361331524653],[293.0860290527344 1099.8372802734375 679.0076904296875 1222.3560791015625],0.761460542678833,ENTOM,None
36,1.0,[11.458753608399434 504.7600540859364 1013.0771803661238 1342.4849688573745],[293.39337158203125 1099.590087890625 677.776123046875 1222.033447265625],0.7626803517341614,R33AKATi,None
37,1.0,[11.0557233958055 504.39237400480135 1011.9766249782185 1342.7272130726992],[292.9232482910156 1098.627685546875 677.2908935546875 1222.972412109375],0.7648861408233643,R33AKAT18,None
38,1.0,[10.23431763562121 503.9201671881406 1010.8834945080108 1342.8531390209675],[292.1921081542969 1098.8712158203125 677.7683715820312 1222.2828369140625],0.7655656337738037,33AKA18,None
39,1.0,[9.607302656918876 503.3960586634259 1010.0720286516964 1342.7300180504496],[291.6096496582031 1098.767578125 677.2680053710938 1222.95263671875],0.7677895426750183,K33AKAT18,None
40,1.0,[9.54482375898408 502.924844417834 1009.8512595511351 1342.8198398587965],[291.9693298339844 1098.9920654296875 677.5821533203125 1222.6234130859375],0.7682048082351685,K33AKAT8,None
41,1.0,[10.521411630254306 502.8711877691112 1010.337527395053 1342.4897530618914],[290.8174133300781 1097.971435546875 677.0277099609375 1223.745849609375],0.7684974074363708,K33AKATiS,None
42,1.0,[9.970677899117959 502.3578724312002 1009.7171955599348 1342.0103519793238],[288.7819519042969 1098.203369140625 678.3256225585938 1224.871337890625],0.7655285000801086,K33AKATi,None
43,1.0,[9.377966747877053 502.28583865943796 1009.0732484047155 1341.9052636896229],[284.8265075683594 1098.449462890625 679.2660522460938 1227.109619140625],0.7637753486633301,M33AKA116,None
44,1.0,[9.484169075934915 501.9171604433211 1009.4732623911681 1341.091374046136],[284.275146484375 1098.369140625 679.01611328125 1227.3812255859375],0.7625142335891724,K3AKAT16,None
45,1.0,[8.997735935761625 501.7515125622455 1009.2459315047438 1340.52095222175],[284.94293212890625 1098.01220703125 679.3949584960938 1228.03466796875],0.7639976143836975,g33AKATi,None
47,1.0,[8.11930867470187 501.9142752646514 1009.4117761926803 1341.0030866471122],[286.8800354003906 1095.5628662109375 679.0541381835938 1227.551025390625],0.7647368311882019,33AKATi,None
48,1.0,[7.810686457044767 501.7608399697836 1008.9919908949975 1340.7685716928936],[287.5067138671875 1096.6651611328125 677.726318359375 1225.0975341796875],0.766753613948822,33AKATtO,None
49,1.0,[7.033745626273969 501.76141928251275 1008.3409420142402 1340.7111941023159],[287.4697265625 1098.448974609375 676.3356323242188 1222.4798583984375],0.7660580277442932,33AKATiB,None
50,1.0,[6.5254814042086196 501.7751058793849 1007.9823123309616 1340.8835089992233],[284.8949890136719 1097.960205078125 675.9930419921875 1224.009521484375],0.7695828676223755,K33AKATt8,None
51,1.0,[6.103608503749513 501.94951864118946 1007.7579211670693 1341.2336555195902],[282.6306457519531 1097.415283203125 678.27294921875 1227.5355224609375],0.7649620771408081,33AKATiB,None
52,1.0,[5.3413128250896875 501.5706753857248 1007.179019898831 1340.275431356405],[281.5829162597656 1096.6839599609375 678.5545654296875 1228.04052734375],0.7672933340072632,33AKATs,None
53,1.0,[5.0504221574975645 501.58682787903774 1007.1554583725417 1340.1278992291482],[281.4864807128906 1095.5306396484375 678.8364868164062 1229.2423095703125],0.7700965404510498,33AKATt,None
54,1.0,[4.723884551618994 501.6755216335962 1007.0184220328815 1339.9402920349419],[282.9093017578125 1096.4139404296875 677.805419921875 1225.590087890625],0.7666040062904358,33AKATis,None
56,1.0,[4.743746659454473 501.99572795015 1007.1509665993452 1340.7575147243795],[284.77899169921875 1095.81103515625 675.9095458984375 1227.3306884765625],0.7703642249107361,K33AKATi,None
57,1.0,[4.728999203392789 502.2921388417913 1006.8806677362813 1341.5218920918164],[285.51361083984375 1097.2899169921875 675.3056030273438 1226.26904296875],0.765684187412262,33AKATTO,None
58,1.0,[4.730684704447867 501.9397398349857 1006.5798066102717 1341.1997300389723],[285.91314697265625 1098.767333984375 674.091796875 1225.0478515625],0.7622205018997192,33AKAg,None
59,1.0,[4.75717453279151 501.82021508314085 1006.5185817956453 1341.0287837620385],[286.7173767089844 1099.074462890625 672.1920166015625 1225.3927001953125],0.7622424960136414,33AKATE,None
60,1.0,[4.905284884126388 502.53209647452485 1007.0099161700216 1342.0403958958852],[285.7080993652344 1098.9361572265625 672.2327270507812 1225.7332763671875],0.7616063356399536,K33AKATi,None
61,1.0,[4.648229257648609 502.5570648409361 1006.9982573025565 1341.9669816013775],[285.24298095703125 1099.14306640625 670.5428466796875 1224.9111328125],0.7640935778617859,M33AKATi,None
64,1.0,[3.9081872426876885 502.6225085642227 1007.0751312873595 1343.2152233529043],[282.72613525390625 1097.4053955078125 670.2894287109375 1225.300537109375],0.7684241533279419,33AKA18,None
65,1.0,[3.8185880768863285 502.4898913748039 1007.095013645215 1343.4222181384387],[281.1812438964844 1096.4896240234375 670.853271484375 1225.2252197265625],0.7701928019523621,33AKATi,None
67,1.0,[3.5007818043518455 501.63510299283126 1006.7809879897886 1342.7555509450785],[279.68646240234375 1094.697509765625 671.6596069335938 1225.22802734375],0.7741205096244812,33AKAT16,None
68,1.0,[3.2149073175812646 501.4714177067597 1006.5696920793614 1342.67580123115],[279.8932800292969 1095.054443359375 671.5413818359375 1222.935302734375],0.7702184915542603,ENTOMM,None
69,1.0,[3.0686983372825125 501.0900814552212 1006.4922934740438 1341.9902466986473],[279.52227783203125 1095.6650390625 672.3014526367188 1223.425537109375],0.7673461437225342,33AKAT6,None
70,1.0,[2.9857171146563815 500.88765917123595 1006.357692816783 1341.6314888134523],[280.8419494628906 1095.872802734375 670.9649658203125 1221.2344970703125],0.7695226669311523,33AKAT8,None
71,1.0,[2.9554361922282055 500.9818290223877 1006.274323572462 1341.6725309382614],[280.4343566894531 1095.5262451171875 671.3573608398438 1222.15576171875],0.7700709104537964,33AKATt8,None
72,1.0,[2.8046986425872547 501.16092236607386 1005.9363525847914 1341.8853341099455],[279.32574462890625 1095.48486328125 671.6063842773438 1221.20654296875],0.7670255303382874,K33AKATi,None
73,1.0,[3.076691298899732 501.1731628453031 1006.1492147435204 1341.9057757924925],[279.21478271484375 1094.4412841796875 671.9349975585938 1222.4345703125],0.7679852843284607,33AKATE,None
74,1.0,[3.0323821370633937 500.8806610735068 1006.0446115850325 1341.8100148382343],[279.3766784667969 1094.692138671875 671.4832763671875 1220.4530029296875],0.7678741812705994,33AKATi,None
75,1.0,[2.8734861458940486 500.6823729116282 1005.7038945306901 1341.7639663210518],[279.79058837890625 1095.428466796875 671.452880859375 1220.0352783203125],0.7679041028022766,33AKATB,None
76,1.0,[2.8848642166302625 500.7093099752195 1005.5217809790083 1342.1190706932907],[280.20965576171875 1096.09033203125 671.10595703125 1219.0499267578125],0.7671233415603638,33AKATi8,None
77,1.0,[2.9348410947541197 500.69974736849457 1005.544218134694 1342.22483132409],[279.931640625 1096.7967529296875 671.0657958984375 1218.4710693359375],0.7675880789756775,33AKATE,None
78,1.0,[2.850284345717455 500.5169719177266 1005.361331326515 1342.0901743346894],[279.1751708984375 1097.2301025390625 671.6416015625 1218.8172607421875],0.763645589351654,33AKATig,None
79,1.0,[2.782702770511321 500.23290970122076 1005.1797970161278 1341.829369709822],[278.42181396484375 1097.5908203125 671.053955078125 1219.575439453125],0.7655104994773865,K33AKAT8,None
80,1.0,[2.666833522134027 500.0965607520864 1004.8318595102776 1341.8614748743933],[279.049072265625 1097.579345703125 670.9286499023438 1219.9351806640625],0.7666696310043335,33AKATt,None
82,1.0,[2.6109389459392673 500.0528451760583 1004.3090945436243 1342.4063040005315],[276.51544189453125 1097.4720458984375 671.7471313476562 1222.46044921875],0.7609195113182068,33AKATi,None
83,1.0,[2.743315285705876 499.88965510689707 1004.6521556057372 1342.4830212047518],[277.4976501464844 1097.23583984375 671.3311157226562 1220.94189453125],0.7663595676422119,33AKATTB,None
85,1.0,[2.8025956606916225 499.882907296128 1004.6195915825966 1342.4215625710387],[278.45233154296875 1097.058837890625 671.6470336914062 1220.7967529296875],0.7639594674110413,33AKA118,None
86,1.0,[2.9690320892801765 499.7698556924204 1004.9973676693182 1342.116220876128],[277.8275146484375 1097.0545654296875 671.0926513671875 1220.66796875],0.7680540084838867,33AKATE,None
87,1.0,[2.960762831514046 500.466493110817 1005.120010513757 1343.3113698960822],[278.6337890625 1096.8707275390625 671.0511474609375 1220.7174072265625],0.7691550254821777,M33AKATi,None
88,1.0,[2.9206557550620573 500.5693687045913 1005.1882739717161 1343.2501774867978],[277.56561279296875 1097.103515625 670.974853515625 1221.0401611328125],0.7684690952301025,K33AKATiB,None
89,1.0,[2.867621899176811 500.8433704254389 1005.1252535164886 1343.1650637143327],[278.0461730957031 1097.3441162109375 670.5443115234375 1222.4774169921875],0.767383873462677,K33AKAT,None
90,1.0,[2.9225422547835933 501.0522148718163 1005.2082496260756 1343.0614529456107],[279.9020690917969 1097.404541015625 669.9835205078125 1222.5560302734375],0.770000159740448,K33AKAT16,None
91,1.0,[2.76901092867422 501.344650645845 1004.8729143252796 1343.4099456252868],[278.8070068359375 1097.7716064453125 670.8345336914062 1224.010009765625],0.7663086652755737,33AKATi8,None
92,1.0,[2.7282878096514764 501.4342721095169 1004.7739152699182 1343.5991663564341],[278.49755859375 1097.3824462890625 670.7261352539062 1223.8033447265625],0.7682600021362305,33AKATi,None
93,1.0,[2.6709677304575052 501.5673298907193 1004.6662475879558 1343.807120098653],[279.0920104980469 1098.7156982421875 670.4042358398438 1224.542724609375],0.7632951140403748,33AKATi,None
94,1.0,[2.65449441763883 501.2131418020674 1004.4261189541448 1343.3936477041125],[276.05255126953125 1099.046875 669.9718017578125 1222.2288818359375],0.7656229734420776,33AKAT1E,None
95,1.0,[2.7884813692874104 501.3308533819982 1004.417849977658 1343.6429443025058],[276.09893798828125 1099.8585205078125 669.7332153320312 1222.033447265625],0.7644579410552979,33AKAT18,None
96,1.0,[2.9055011787779677 501.3703660284593 1004.4358312128767 1343.7585844967757],[275.32049560546875 1099.99267578125 670.5807495117188 1223.44970703125],0.7598562836647034,ENE,None
97,1.0,[2.9691930640023543 501.2812142471491 1004.3121184630531 1343.8667866910644],[275.36199951171875 1100.3387451171875 669.6967163085938 1222.6724853515625],0.7613423466682434,M33AKATi,None
98,1.0,[3.13865657277222 501.23779534285956 1004.4707200023137 1343.9559158346995],[275.8213195800781 1100.2745361328125 669.8338012695312 1223.596435546875],0.7610730528831482,33AKATB,None
99,1.0,[3.1532666360458848 501.39901874787915 1004.520964712872 1344.2789381727418],[276.2596435546875 1100.566650390625 669.6339111328125 1222.79541015625],0.761946976184845,33AKATi8,None
